Date,RF_m,ACWI_m,SP500_m,RUSSELL1000_m,EW_m,GMV_m,RP_m,GMV_EW_m,YoY_Infl,CPI,HI1,HI2,MKT_exc,SMB,HML,MOM,ACWI_exc,SP500_exc,RUSSELL1000_exc,EW_exc,GMV_exc,RP_exc,GMV_EW_exc
2011-07-01,0.000000000000,-0.016279678526,-0.020676090495,-0.022019915216,-0.018076173074,-0.011919829149,-0.013741035011,-0.014998001112,0.036000000000,225.922000000000,0,1,-0.017,-0.0157,0.0129,0.0201,-0.016279678526,-0.020676090495,-0.022019915216,-0.018076173074,-0.011919829149,-0.013741035011,-0.014998001112
2011-08-01,0.000100000000,-0.073050770199,-0.055065370629,-0.058278938980,-0.083394610967,-0.060493260791,-0.075485105287,-0.071943935879,0.038000000000,226.545000000000,0,1,-0.0752,-0.0024,-0.0192,-0.0085,-0.073150770199,-0.055165370629,-0.058378938980,-0.083494610967,-0.060593260791,-0.075585105287,-0.072043935879
2011-09-01,0.000000000000,-0.094414101003,-0.070738023751,-0.075058209727,-0.128327091365,-0.100092744881,-0.119679381963,-0.114209918123,0.039000000000,226.889000000000,0,1,-0.092,0.0151,-0.016,-0.0286,-0.094414101003,-0.070738023751,-0.075058209727,-0.128327091365,-0.100092744881,-0.119679381963,-0.114209918123
2011-10-03,0.000000000000,0.107147833490,0.108821406762,0.111648505332,0.105034155574,0.087543143906,0.098190646776,0.096288649740,0.035000000000,226.421000000000,0,1,0.1001,-0.0007,-0.0123,-0.0133,0.107147833490,0.108821406762,0.111648505332,0.105034155574,0.087543143906,0.098190646776,0.096288649740
2011-11-01,0.000000000000,-0.029940340229,-0.003064105902,-0.003396760497,-0.059214777851,-0.062236708827,-0.060061048228,-0.060725743339,0.034000000000,226.230000000000,0,1,-0.0264,0.0205,-0.0074,0.0453,-0.029940340229,-0.003064105902,-0.003396760497,-0.059214777851,-0.062236708827,-0.060061048228,-0.060725743339
2011-12-01,0.000000000000,-0.002017466909,0.009722780233,0.007858112160,-0.017246314997,-0.000448203402,-0.013787093961,-0.008847259199,0.030000000000,225.672000000000,0,1,-0.0044,0.0205,0.0179,0.0205,-0.002017466909,0.009722780233,0.007858112160,-0.017246314997,-0.000448203402,-0.013787093961,-0.008847259199
2012-01-02,0.000000000000,0.058143284749,0.044445328665,0.048378006012,0.087905319515,0.085792147524,0.087190087335,0.086848733519,0.029000000000,226.665000000000,0,1,0.0561,-0.0165,0.0281,-0.0677,0.058143284749,0.044445328665,0.048378006012,0.087905319515,0.085792147524,0.087190087335,0.086848733519
2012-02-01,0.000000000000,0.050313775817,0.042444474075,0.043158806487,0.058820415381,0.055548880566,0.057090590466,0.057184647974,0.029000000000,227.663000000000,0,1,0.0493,0.0015,0.0047,-0.0262,0.050313775817,0.042444474075,0.043158806487,0.058820415381,0.055548880566,0.057090590466,0.057184647974
2012-03-01,0.000000000000,0.006641464035,0.032434160937,0.030827082021,-0.009260144089,0.003196129185,-0.006807850089,-0.003032007452,0.027000000000,229.392000000000,0,1,0.0124,0.0132,-0.0158,0.0358,0.006641464035,0.032434160937,0.030827082021,-0.009260144089,0.003196129185,-0.006807850089,-0.003032007452
2012-04-02,0.000000000000,-0.011432780995,-0.006641445986,-0.006138434190,-0.017517716604,-0.009877438855,-0.015660505037,-0.013697577730,0.023000000000,230.085000000000,0,1,-0.0111,-0.0073,-0.0183,0.0486,-0.011432780995,-0.006641445986,-0.006138434190,-0.017517716604,-0.009877438855,-0.015660505037,-0.013697577730
2012-05-01,0.000100000000,-0.089660371897,-0.060867512383,-0.062154734734,-0.120252032570,-0.071368670027,-0.107064106836,-0.095810351299,0.017000000000,229.815000000000,0,0,-0.0888,-0.0051,-0.0133,0.0625,-0.089760371897,-0.060967512383,-0.062254734734,-0.120352032570,-0.071468670027,-0.107164106836,-0.095910351299
2012-06-01,0.000000000000,0.049391474194,0.040708787274,0.037785702224,0.064089659039,0.020490619822,0.051344142711,0.042290139430,0.017000000000,229.478000000000,0,0,0.0485,-0.0042,0.0049,-0.0099,0.049391474194,0.040708787274,0.037785702224,0.064089659039,0.020490619822,0.051344142711,0.042290139430
2012-07-02,0.000000000000,0.013687462272,0.013503659615,0.011495353044,0.013556499593,0.014070942368,0.014634618099,0.013813720980,0.014000000000,229.104000000000,0,0,0.0085,0.0122,-0.0218,0.0372,0.013687462272,0.013503659615,0.011495353044,0.013556499593,0.014070942368,0.014634618099,0.013813720980
2012-08-01,0.000100000000,0.021747021838,0.021692110529,0.023524290770,0.027012554812,0.012580077389,0.023355463832,0.019796316101,0.017000000000,230.379000000000,0,0,0.0278,-0.0059,-0.018,-0.0171,0.021647021838,0.021592110529,0.023424290770,0.026912554812,0.012480077389,0.023255463832,0.019696316101
2012-09-03,0.000100000000,0.031497568475,0.025359910919,0.025230205984,0.041195617906,0.031225074452,0.039385166973,0.036210346179,0.020000000000,231.407000000000,0,0,0.0307,-0.0129,0.0074,-0.0127,0.031397568475,0.025259910919,0.025130205984,0.041095617906,0.031125074452,0.039285166973,0.036110346179
2012-10-01,0.000100000000,-0.006669877441,-0.018865008950,-0.017241845743,0.011036064154,0.000485105215,0.007933176193,0.005760584685,0.022000000000,231.317000000000,0,0,-0.0043,-0.0213,-0.0192,0,-0.006769877441,-0.018965008950,-0.017341845743,0.010936064154,0.000385105215,0.007833176193,0.005660584685
2012-11-01,0.000100000000,0.012789849611,0.004917401652,0.007120507244,0.010960981630,0.003511191306,0.008582121990,0.007236086468,0.018000000000,230.221000000000,0,0,0.0132,-0.0106,-0.0075,0.0106,0.012689849611,0.004817401652,0.007020507244,0.010860981630,0.003411191306,0.008482121990,0.007136086468
